id,date,amount,currency,description,ref_id,account_id,raw_source
BNK-1050,2026-02-08,1484.23,USD,SEGMENT CDP DATA PIPELN WIRE NET OF $2.5 FEE,REF-FEE-30004,ACC-BANK-CHASE-01,Chase Commercial
BNK-1051,2026-02-09,4207.3,USD,WEWORK SHARED DESK NYC WIRE NET OF $1.25 FEE,REF-FEE-30005,ACC-BANK-CHASE-01,Chase Commercial
BNK-1052,2026-02-15,4478.61,USD,DATADOG INC SYS METRICS WIRE NET OF $1.5 FEE,REF-FEE-30006,ACC-BANK-CHASE-01,Chase Commercial
BNK-1053,2026-02-19,2249.84,USD,DELL DIRECT HARDWARE EQ WIRE NET OF $1.25 FEE,REF-FEE-30007,ACC-BANK-CHASE-01,Chase Commercial
BNK-1054,2026-02-12,3420.5,USD,AMZN AWS US-EAST CLOUD SVCS,BNK-DEBIT-40000,ACC-BANK-CHASE-01,Chase Commercial
BNK-1055,2026-02-07,1850.0,USD,GGL *GSUITE CALENDAR CORP,BNK-DEBIT-40001,ACC-BANK-CHASE-01,Chase Commercial
BNK-1056,2026-02-15,840.25,USD,SLK*SLACK DIRECT COMM,BNK-DEBIT-40002,ACC-BANK-CHASE-01,Chase Commercial
BNK-1057,2026-02-05,14500.0,USD,STRIPE TRANSFER REVENUE ACH,BNK-DEBIT-40003,ACC-BANK-CHASE-01,Chase Commercial
BNK-1058,2026-02-23,6210.8,USD,MSFT *AZURE CLOUD US,BNK-DEBIT-40004,ACC-BANK-CHASE-01,Chase Commercial
BNK-1059,2026-02-22,2150.0,USD,DATADOG INC SYS METRICS APM,BNK-DEBIT-40005,ACC-BANK-CHASE-01,Chase Commercial
BNK-1060,2026-02-13,2072.55,USD,HUBSPOT INBOUND MKTG CONSOLIDATED SPLIT-50000,BNK-SPLIT-50000,ACC-BANK-CHASE-01,Chase Commercial
BNK-1061,2026-02-13,1148.22,USD,GOOGLE *GSUITE CALENDAR CONSOLIDATED SPLIT-50001,BNK-SPLIT-50001,ACC-BANK-CHASE-01,Chase Commercial
BNK-1062,2026-02-08,2188.95,USD,FIGMA ENTERPRISE LICENSE CONSOLIDATED SPLIT-50002,BNK-SPLIT-50002,ACC-BANK-CHASE-01,Chase Commercial
BNK-1063,2026-02-12,2893.88,USD,SNOWFLAKE DATA WAREHOUSE CONSOLIDATED SPLIT-50003,BNK-SPLIT-50003,ACC-BANK-CHASE-01,Chase Commercial
BNK-1064,2026-02-01,9308.15,USD,SFDC CRM CLOUD SUB - Invoice 10000 (DUPLICATE POST),REF-EX-10000-DUP,ACC-BANK-CHASE-01,Chase Commercial
BNK-1065,2026-02-01,1307.14,USD,GOOGLE *GSUITE CALENDAR - Invoice 10004 (DUPLICATE POST),REF-EX-10004-DUP,ACC-BANK-CHASE-01,Chase Commercial
BNK-1066,2026-02-24,35.0,USD,CHASE SERVICE CHG WIRE TRANSFER,BNK-UNRES-1067,ACC-BANK-CHASE-01,Chase Commercial
BNK-1067,2026-02-24,1250.0,USD,AIRBNB RESERVATION SAN FRANCISCO,BNK-UNRES-1068,ACC-BANK-CHASE-01,Chase Commercial
BNK-1068,2026-02-21,89.99,USD,UNKNOWN ACH DEBIT MERCH-9921,BNK-UNRES-1069,ACC-BANK-CHASE-01,Chase Commercial
BNK-1069,2026-02-13,412.5,USD,FOREIGN EXCHANGE DISCREPANCY REVAL,BNK-UNRES-1070,ACC-BANK-CHASE-01,Chase Commercial
BNK-1070,2026-02-23,3517.36,USD,SFDC CRM CLOUD SUB - Regular Vendor Settlement 60000,REF-EX-TOP-60000,ACC-BANK-CHASE-01,Chase Commercial
BNK-1071,2026-02-15,3769.17,USD,WEWORK SHARED DESK NYC - Regular Vendor Settlement 60001,REF-EX-TOP-60001,ACC-BANK-CHASE-01,Chase Commercial
BNK-1072,2026-02-23,5074.19,USD,GOOGLE *GSUITE CALENDAR - Regular Vendor Settlement 60002,REF-EX-TOP-60002,ACC-BANK-CHASE-01,Chase Commercial
BNK-1073,2026-02-03,3318.35,USD,SFDC CRM CLOUD SUB - Regular Vendor Settlement 60003,REF-EX-TOP-60003,ACC-BANK-CHASE-01,Chase Commercial
BNK-1074,2026-02-27,6531.71,USD,FIGMA ENTERPRISE LICENSE - Regular Vendor Settlement 60004,REF-EX-TOP-60004,ACC-BANK-CHASE-01,Chase Commercial
BNK-1075,2026-02-08,1831.46,USD,HUBSPOT INBOUND MKTG - Regular Vendor Settlement 60005,REF-EX-TOP-60005,ACC-BANK-CHASE-01,Chase Commercial
