id,date,amount,currency,description,ref_id,account_id,entity,gl_account
LDG-5025,2026-02-24,3173.41,USD,Segment.io Inc - PO 10024,REF-EX-10024,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5026,2026-02-13,3483.86,USD,Dell Computers Corp - PO 10025,REF-EX-10025,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5027,2026-02-08,8604.99,USD,Segment.io Inc - PO 10026,REF-EX-10026,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5028,2026-02-08,10299.26,USD,Google Workspace - PO 10027,REF-EX-10027,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5029,2026-02-13,3456.6,USD,Figma Design Inc - PO 10028,REF-EX-10028,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5030,2026-02-19,10973.14,USD,Zoom Video Comm - PO 10029,REF-EX-10029,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5031,2026-02-08,4892.93,USD,Figma Design Inc Scheduled AP Disbursement 20000,SAP-PAY-20000,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5032,2026-02-06,1584.6,USD,Dell Computers Corp Scheduled AP Disbursement 20001,SAP-PAY-20001,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5033,2026-02-19,7172.53,USD,Segment.io Inc Scheduled AP Disbursement 20002,SAP-PAY-20002,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5034,2026-02-20,3630.37,USD,WeWork Management Scheduled AP Disbursement 20003,SAP-PAY-20003,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5035,2026-02-18,1136.37,USD,Stripe Payouts Scheduled AP Disbursement 20004,SAP-PAY-20004,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5036,2026-02-05,6072.5,USD,Google Workspace Scheduled AP Disbursement 20005,SAP-PAY-20005,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5037,2026-02-21,3839.86,USD,WeWork Management Scheduled AP Disbursement 20006,SAP-PAY-20006,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5038,2026-02-16,2613.01,USD,PagerDuty Inc Scheduled AP Disbursement 20007,SAP-PAY-20007,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5039,2026-02-02,6930.64,USD,Segment.io Inc Scheduled AP Disbursement 20008,SAP-PAY-20008,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5040,2026-02-10,3429.61,USD,Segment.io Inc Scheduled AP Disbursement 20009,SAP-PAY-20009,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5041,2026-02-15,4474.26,USD,Datadog Monitoring Scheduled AP Disbursement 20010,SAP-PAY-20010,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5042,2026-02-18,4970.67,USD,Twilio Inc Scheduled AP Disbursement 20011,SAP-PAY-20011,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5043,2026-02-11,4970.5,USD,Salesforce.com Inc Scheduled AP Disbursement 20012,SAP-PAY-20012,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5044,2026-02-06,7315.1,USD,Zoom Video Comm Scheduled AP Disbursement 20013,SAP-PAY-20013,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5045,2026-02-18,5810.29,USD,Segment.io Inc Scheduled AP Disbursement 20014,SAP-PAY-20014,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5046,2026-02-03,858.66,USD,Snowflake Inc Gross AP Invoice,REF-FEE-30000,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5047,2026-02-10,637.49,USD,Datadog Monitoring Gross AP Invoice,REF-FEE-30001,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5048,2026-02-05,3400.82,USD,Slack Technologies Gross AP Invoice,REF-FEE-30002,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5049,2026-02-07,926.41,USD,Segment.io Inc Gross AP Invoice,REF-FEE-30003,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5050,2026-02-08,1486.73,USD,Segment.io Inc Gross AP Invoice,REF-FEE-30004,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5051,2026-02-09,4208.55,USD,WeWork Management Gross AP Invoice,REF-FEE-30005,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5052,2026-02-15,4480.11,USD,Datadog Monitoring Gross AP Invoice,REF-FEE-30006,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5053,2026-02-19,2251.09,USD,Dell Computers Corp Gross AP Invoice,REF-FEE-30007,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5054,2026-02-11,3420.5,USD,Amazon Web Services Inc Infrastructure,VOUCHER-ERP-40000,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5055,2026-02-06,1850.0,USD,Google LLC Enterprise Workspace Suite,VOUCHER-ERP-40001,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5056,2026-02-14,840.25,USD,Slack Technologies Team Subscription,VOUCHER-ERP-40002,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5057,2026-02-04,14500.0,USD,Stripe Inc Merchant Processing Settlements,VOUCHER-ERP-40003,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5058,2026-02-22,6210.8,USD,Microsoft Corporation Azure Enterprise,VOUCHER-ERP-40004,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5059,2026-02-21,2150.0,USD,Datadog Cloud Observability Platform,VOUCHER-ERP-40005,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5060,2026-02-13,510.79,USD,HubSpot Inc Milestone Tranche A SPLIT-50000,LDG-A-SPLIT-50000,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5061,2026-02-13,1561.76,USD,HubSpot Inc Milestone Tranche B SPLIT-50000,LDG-B-SPLIT-50000,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5062,2026-02-13,601.1,USD,Google Workspace Milestone Tranche A SPLIT-50001,LDG-A-SPLIT-50001,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5063,2026-02-13,547.12,USD,Google Workspace Milestone Tranche B SPLIT-50001,LDG-B-SPLIT-50001,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5064,2026-02-08,1271.23,USD,Figma Design Inc Milestone Tranche A SPLIT-50002,LDG-A-SPLIT-50002,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5065,2026-02-08,917.72,USD,Figma Design Inc Milestone Tranche B SPLIT-50002,LDG-B-SPLIT-50002,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5066,2026-02-12,1308.85,USD,Snowflake Inc Milestone Tranche A SPLIT-50003,LDG-A-SPLIT-50003,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5067,2026-02-12,1585.03,USD,Snowflake Inc Milestone Tranche B SPLIT-50003,LDG-B-SPLIT-50003,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5068,2026-02-01,9308.15,USD,Salesforce.com Inc - PO 10000 [ACC-DOUBLE-ENTRY],REF-EX-10000-DUP,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5069,2026-02-01,1307.14,USD,Google Workspace - PO 10004 [ACC-DOUBLE-ENTRY],REF-EX-10004-DUP,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5070,2026-02-21,5000.0,USD,Accrued Legal Retainer - Cooley LLP,LDG-UNRES-5071,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5071,2026-02-19,750.0,USD,Outstanding Vendor Check #99014,LDG-UNRES-5072,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5072,2026-02-12,3200.0,USD,Internal Intercompany Rebalance Entry,LDG-UNRES-5073,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5073,2026-02-09,1650.0,USD,Prepaid Software Amortization March,LDG-UNRES-5074,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5074,2026-02-23,3517.36,USD,Salesforce.com Inc - Operating Expense Voucher 60000,REF-EX-TOP-60000,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5075,2026-02-15,3769.17,USD,WeWork Management - Operating Expense Voucher 60001,REF-EX-TOP-60001,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5076,2026-02-23,5074.19,USD,Google Workspace - Operating Expense Voucher 60002,REF-EX-TOP-60002,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5077,2026-02-03,3318.35,USD,Salesforce.com Inc - Operating Expense Voucher 60003,REF-EX-TOP-60003,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5078,2026-02-27,6531.71,USD,Figma Design Inc - Operating Expense Voucher 60004,REF-EX-TOP-60004,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5079,2026-02-08,1831.46,USD,HubSpot Inc - Operating Expense Voucher 60005,REF-EX-TOP-60005,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
